country,description,points,price_point,province,title,variety,winery,year,name,region,rating,price_rating
Germany,"Fresh and fragrant of blossoms, tart yellow peach and apricot, this off-dry Riesling maintains a crystalline fruit purity that persists throughout Fritz Haag's wines. It's invigorating and irresistably quaffable. The long, melon-rind finish is lip smacking.",91,30.0,Mosel,Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel),Riesling,Fritz Haag,2014,Riesling Trocken ,Mosel,3.8,10.67
Germany,"Dusty, saffron-spiced earthiness is juxtaposed against intense mango and tangerine fruitiness in this deeply complex wine. It's unctuously sweet, but balanced by a piercing streak of acidity that penetrates through the midpalate. Spry and silken, it finishes on a long lingering whisper of honey and peach.",97,775.0,Rheingau,Robert Weil 2014 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Riesling,Robert Weil,2014,Kiedrich GrÃ¤fenberg Riesling Trocken GG ,Rheingau,4.0,40.4
Italy,"Made from organic grapes, this bright red opens with violet, red-skinned berry and white pepper scents. The juicy palate doles out ripe raspberry, red cherry and star anise notes, with fresh acidity and velvety tannins. Enjoy through 2020.",89,19.0,Piedmont,Vite Colte 2016 Rossofuoco  (Barbera d'Asti),Barbera,Vite Colte,2016,Ansisa Barbera d'Alba ,Barbera d'Alba,3.8,6.9
Italy,"Made from organic grapes, this bright red opens with violet, red-skinned berry and white pepper scents. The juicy palate doles out ripe raspberry, red cherry and star anise notes, with fresh acidity and velvety tannins. Enjoy through 2020.",89,19.0,Piedmont,Vite Colte 2016 Rossofuoco  (Barbera d'Asti),Barbera,Vite Colte,2016,La Luna e i FalÃ² Barbera d'Asti Superiore ,Barbera d'Asti,4.0,12.95
Italy,"Made from organic grapes, this bright red opens with violet, red-skinned berry and white pepper scents. The juicy palate doles out ripe raspberry, red cherry and star anise notes, with fresh acidity and velvety tannins. Enjoy through 2020.",89,19.0,Piedmont,Vite Colte 2016 Rossofuoco  (Barbera d'Asti),Barbera,Vite Colte,2016,Croere Barbera d'Alba Superiore ,Barbera d'Alba,3.9,10.79
Italy,"This opens with black-skinned berry, clove and cooking spice aromas. The straightforward palate shows ripe black cherry, black plum and white pepper notes alongside smooth tannins. Drink soon.",87,16.0,Piedmont,Pico Maccario 2016 Lavignone  (Barbera d'Asti),Barbera,Pico Maccario,2016,Barbera d'Asti Lavignone ,Barbera d'Asti,3.8,6.95
Italy,"This opens with black-skinned berry, clove and cooking spice aromas. The straightforward palate shows ripe black cherry, black plum and white pepper notes alongside smooth tannins. Drink soon.",87,16.0,Piedmont,Pico Maccario 2016 Lavignone  (Barbera d'Asti),Barbera,Pico Maccario,2016,Barbera d'Asti Superiore Tre Roveri ,Barbera d'Asti,3.8,16.5
Germany,"Perfumed on the nose with heady yellow florals and stonefruit, this is one stunner of a Riesling. It's powerfully concentrated on the palate with flavors of honey and sweet peach tinged with lanolin and wax. Penetrating and pure in focus, yet remarkably delicate in texture, it finishes long with layers of crushed-stone minerality.",94,58.0,Mosel,Markus Molitor 2010 Zeltinger Sonnenuhr Auslese Riesling (Mosel),Riesling,Markus Molitor,2010,Niedermenniger Herrenberg Riesling Auslese ,Mosel,4.0,39.95
France,"As the wine ages, it shows a soft, toasty and nutty side that adds complexity to the tight fruitiness that remains. It's a wine in transition, still fresh while adding some concentration, broadening the steely texture and giving hints of the serious wine it will be. Drink from 2018.",93,40.0,Alsace,Trimbach 2011 Réserve Riesling (Alsace),Riesling,Trimbach,2011,Riesling Alsace CuvÃ©e FrÃ©dÃ©ric Emile ,Alsace,3.9,44.61
Germany,"Exuberant and fresh, this vivacious dry Riesling is anchored in cutting citrus tones of lime, lemon and tangerine. Medium bodied on the palate, it's racy, crystalline style is endlessly quaffable.",90,18.0,Rheinhessen,Wittmann 2015 100 Hills Dry Riesling (Rheinhessen),Riesling,Wittmann,2015,Aulerde Riesling GG ,Rheinhessen,4.2,36.95
